ᎤᎭ	ù:ha	u¹ha	He has something solid	uu1ha
ᏚᎾᏓᏙᎵᏨᎢ	dù:nada:dohljv̌:ɂi	du¹nạ²da²dohl²jv²³ɂi	They were acquainted a while ago	duu1na2daa2dohl2jvv23-i
ᏦᎩᎾᏓᏚᎸᏗ	jò:ginadaduhldi	jo¹gị²nạ²dạ²duhl²di	For him and me to want each other	joo1gi2na2da2duhl2di
ᏫᏦᏍᏓᏓᎦᏙᏍᏓ	wijò:sdadaktǒ:sda	wị²jo¹sdạ²dạ²kto²³sda	Let him and me look at each other	wi2joo1sda2da2ktoo23sda
ᏙᎩᎰᎢ	dò:gi:hó:ɂi	do¹gi²ho³ɂi	They and I usually have solid things	doo1gii2hoo3-i
ᏗᎩᎾᏓᎪᏩᏛᏗ	diginada:gowhtv́hdi	dị²gị²nạ²da²gowh²tvh³di	For you (1) and me to see each other	di2gi2na2daa2gowh2tvh3di
ᏕᏓᏚᎦ	dé:datǔ:gā	de³dạ²tu²³ga²	All of us recently drank alcoholic drinks	dee3da2tuu23ga2
ᏕᎩᎾᏓᏙᎵᏨᎢ	de:ginada:dohljv̌:ɂi	de²gị²nạ²da²dohl²jv²³ɂi	You (1) and I were acquainted a while ago	dee2gi2na2daa2dohl2jvv23-i
ᏚᏂᎰᎢ	dù:ni:hó:ɂi	du¹ni²ho³ɂi	They usually have solid things	duu1nii2hoo3-i
ᏙᎵᎩ	tohlgi	tohl²gi	Let you (1) understand things	tohl2gi
ᏙᏣᏚᎦ	dò:jatǔ:gā	do¹jạ²tu²³ga²	They and I recently drank alcoholic drinks	doo1ja2tuu23ga2
ᏙᎩᎾᏓᏙᎵᏨᎢ	dò:ginada:dohljv̌:ɂi	do¹gị²nạ²da²dohl²jv²³ɂi	He and I were acquainted a while ago	doo1gi2na2daa2dohl2jvv23-i
ᏕᎩᏂᎰᎢ	de:gini:hó:ɂi	de²gị²ni²ho³ɂi	You (1) and I usually have solid things	dee2gi2nii2hoo3-i
ᏗᏙᎵᎩ	didohlgi	dị²dohl²gi	Let all of us understand things	di2dohl2gi
ᎨᏃᎵᎩ	ge:no:lì:gi	ge²no²li¹gi	Let you (1) and me recognize them (animate)	gee2noo2lii1gi
ᏕᎯᏟᏌ	de:hìhlǐ:sā	de²hị¹hli²³sa²	You (1) recently gathered things	dee2hi1hlii23sa2
ᏙᏍᏓᏚᎦ	dò:sdatǔ:gā	do¹sdạ²tu²³ga²	He and I recently drank alcoholic drinks	doo1sda2tuu23ga2
ᏙᎩᏂᎰᎢ	dò:gini:hó:ɂi	do¹gị²ni²ho³ɂi	He and I usually have solid things	doo1gi2nii2hoo3-i
ᏍᏕᎾ	sdè:nā	sde¹na²	You both recently went	sdee1na2
ᏕᏥᏰᎠ	dé:ji:hyé:ɂa	de³ji²hye³ɂa	You all are eating flexible things	dee3jii2hyee3-a
ᏗᏃᎵᎩ	dínohlgi	dị³nohl²gi	Let you (1) and me understand things	di3nohl2gi
ᎨᏙᎵᎩ	ge:do:lì:gi	ge²do²li¹gi	Let all of us recognize them (animate)	gee2doo2lii1gi
ᏗᎦᏚᎳ	digadǔ:la	dị²gạ²du²³la	Let all of us want them (inanimate)	di2ga2duu23la
ᏬᏤᎾ	wò:jè:na	wo¹je¹na	Let them and me go	woo1jee1na
ᏕᎦᏰᎠ	de:gahyé:ɂa	de²gạ²hye³ɂa	He is eating flexible things	dee2ga2hyee3-a
ᎡᏦᎵᎦ	è:johlga	e¹johl²ga	You (1) are being recognized	ee1johl2ga
ᎨᏦᎵᎩ	ge:jo:lì:gi	ge²jo²li¹gi	Let you all recognize them (animate)	gee2joo2lii1gi
ᎥᏉᎵᏍᏗ	v̀:gwo:hlísdi	v¹gwo²hlị³sdi	For me to be recognized	vv1gwoo2hli3sdi
ᏗᏥᏟᏌ	dijì:hlǐ:sa	dị²ji¹hli²³sa	Let you all gather things	di2jii1hlii23sa
ᎢᎦᏓᏚᎳ	ì:gadadǔ:la	i¹gạ²dạ²du²³la	Let all of us want ourselves	ii1ga2da2duu23la
ᏬᏍᏕᎾ	wò:sdè:na	wo¹sde¹na	Let him and me go	woo1sdee1na
ᏕᏍᏗᏰᎠ	de:sdi:hyé:ɂa	de²sdi²hye³ɂa	You both are eating flexible things	dee2sdii2hyee3-a
ᎬᏉᎵᎦ	gv:gwohlga	gv²gwohl²ga	They recognize me	gvv2gwohl2ga
ᎯᏲᎵᎩ	hi:yo:lì:gi	hi²yo²li¹gi	Let you (1) recognize him	hii2yoo2lii1gi
ᏗᏉᎵᏍᏗ	dìgwo:hlísdi	dị¹gwo²hlị³sdi	For me to understand things	di1gwoo2hli3sdi
ᏫᏗᏥᏟᏌ	widijìhlǐ:sa	wị²dị²jị¹hli²³sa	Let me gather things	wi2di2ji1hlii23sa
ᏗᏍᏓᏤᎵᎢ	disdaje:li̋:ɂi	dị²sdạ²je²li⁴ɂi	You both, your things	di2sdaa2jee2lii4-i
ᏗᎩᎾᏚᎳ	diginadǔ:la	dị²gị²nạ²du²³la	Let you (1) and me want them (inanimate)	di2gi2na2duu23la
ᎠᏓᏙᎵᎦ	à:da:dohlga	a¹da²dohl²ga	He recognizes himself	aa1daa2dohl2ga
ᏗᎦᏓᏙᎵᏍᏗ	digada:do:hlísdi	dị²gạ²da²do²hlị³sdi	For all of us to be acquainted	di2ga2daa2doo2hli3sdi
ᏗᏣᏓᏚᎳ	dijadadǔ:la	dị²jạ²dạ²du²³la	Let you all want each other	di2ja2da2duu23la
ᎭᏓᏙᎵᎦ	hada:dohlga	hạ²da²dohl²ga	You (1) recognize yourself	haa2daa2dohl2ga
ᎡᏍᏙᎵᎩ	è:sdo:lì:gi	e¹sdo²li¹gi	Let you both recognize him; Let you both be recognized	ee1sdoo2lii1gi
ᏗᏍᏓᏓᏙᎵᏍᏗ	disdada:do:hlísdi	dị²sdạ²da²do²hlị³sdi	For you both to be acquainted	di2sdaa2daa2doo2hli3sdi
ᎢᎬᏯ	ì:gù:wâ:ya	i¹gu¹wa³²ya	All of us have something rod shaped	ii1guu1waa32ya
ᎠᎾᏓᏙᎵᎦ	à:nada:dohlga	a¹nạ²da²dohl²ga	They recognize themselves	aa1naa2daa2dohl2ga
ᎨᏍᏙᎵᎩ	ge:sdo:lì:gi	ge²sdo²li¹gi	Let you both recognize them (animate)	gee2sdoo2lii1gi
ᏍᏆᏚᎳ	sgwadǔ:lā	sgwạ²du²³la²	You (1) recently wanted me	sgwa2duu23la2
ᎣᎬᏯ	ò:gù:wâ:ya	o¹gu¹wa³²ya	They and I have something rod shaped	oo1guu1waa32ya
ᎢᎾᏓᏙᎵᎦ	ì:nada:dohlga	i¹nạ²da²dohl²ga	You (1) and I recognize ourselves	ii1na2daa2dohl2ga
ᎡᎩᏃᎵᎩ	è:gino:lì:gi	e¹gị²no²li¹gi	Let you (1) and me be recognized	ee1gi2noo2lii1gi
ᎨᏣᏚᎳ	gé:jadǔ:lā	ge³jạ²du²³la²	They recently wanted you all	gee3ja2duu23la2
ᎢᏓᏓᏙᎵᎦ	ì:dada:dohlga	i¹dạ²da²dohl²ga	All of us recognize ourselves	ii1da2daa2dohl2ga
ᎪᏣᏚᎳ	go:jadǔ:lā	go²jạ²du²³la²	They and I recently wanted them (animate)	goo2ja2duu23la2
ᎣᏣᏓᏙᎵᎦ	ò:jada:dohlga	o¹jạ²da²dohl²ga	They and I recognize ourselves	oo1ja2daa2dohl2ga
ᎪᏍᏓᏚᎳ	go:sdadǔ:lā	go²sdạ²du²³la²	He and I recently wanted them (animate)	goo2sda2duu23la2
ᎢᏣᏓᎪᏩᏔ	ì:jada:gò:wahta	i¹jạ²da²go¹wah²ta	Let you all see yourselves	ii1ja2daa2goo1wah2ta
ᎣᏍᏓᏓᏙᎵᎦ	ò:sdada:dohlga	o¹sdạ²da²dohl²ga	He and I recognize ourselves	oo1sda2daa2dohl2ga
ᏫᏦᏥᎪᏩᏔ	wijò:ji:gò:wahta	wị²jo¹ji²go¹wah²ta	Let them and me see them (inanimate)	wi2joo1jii2goo1wah2ta
ᎨᎩᎪᏩᏔ	ge:gi:gò:wahtā	ge²gi²go¹wah²ta²	They recently saw all of us	gee2gii2goo1wah2ta2
ᏫᏗᏂᎪᏩᏔ	widini:gò:wahta	wị²dị²ni²go¹wah²ta	Let them see them	wi2di2nii2goo1wah2ta
ᎪᎩᎪᏩᏔ	go:gi:gò:wahtā	go²gi²go¹wah²ta²	They recently saw them and me	goo2gii2goo1wah2ta2
ᏫᏦᏍᏗᎪᏩᏔ	wijò:sdi:gò:wahta	wị²jo¹sdi²go¹wah²ta	Let him and me see them (inanimate)	wi2joo1sdii2goo1wah2ta
ᎬᎪᎲᎢ	gv:go:hv̌:ɂi	gv²go²hv²³ɂi	I saw you (1) a while ago	gvv2goo2hvv23-i
ᏫᏗᎾᏓᎪᏩᏔ	widinada:gò:wahta	wị²dị²nạda²go¹wah²ta	Let them see each other	wi2di2nadaa2goo1wah2ta
ᏥᎪᎲᎢ	ji:go:hv̌:ɂi	ji²go²hv²³ɂi	I saw him a while ago	jii2goo2hvv23-i
ᎨᎩᏂᎪᏩᏔ	ge:gini:gò:wahtā	ge²gị²ni²go¹wah²ta²	They recently saw you (1) and me	gee2gi2nii2goo1wah2ta2
ᎪᎩᏂᎪᏩᏔ	go:gini:gò:wahtā	go²gị²ni²go¹wah²ta²	They recently saw him and me	goo2gi2nii2goo1wah2ta2
ᎢᏨᎪᎲᎢ	ì:jv:go:hv̌:ɂi	i¹jv²go²hv²³ɂi	I, we two, or we all saw you all a while ago; We all saw you (1), two a while ago	ii1jvv2goo2hvv23-i
ᎤᏓᎪᎲᎢ	ù:da:go:hv̌:ɂi	u¹da²go²hv²³ɂi	He saw himself a while ago	uu1daa2goo2hvv23-i
ᏣᏓᎪᎲᎢ	jada:go:hv̌:ɂi	jạ²da²go²hv²³ɂi	You (1) saw yourself a while ago	ja2daa2goo2hvv23-i
ᎠᏆᏓᎪᎲᎢ	à:gwada:go:hv̌:ɂi	a¹gwạ²da²go²hv²³ɂi	I saw myself a while ago	aa1gwaa2daa2goo2hvv23-i
ᎦᏓᏙᎵᎦ	gada:do:lì:gā	gạ²da²do²li¹ga²	I recently recognized myself	ga2daa2doo2lii1ga2
ᎤᏁᏗ	ù:nehdi	u¹neh²di	For him to have a liquid	uu1neh2di
ᎯᏥ	hi:ji	hi²ji	You one, his mother	hii2ji
ᎭᏓ	hada	hạ²da	Let you (1) say	ha2da
ᏫᏗᏯᎦ	widihyaga	wị²dị²hyạ²ga	Let him eat flexible things	wi2di2hya2ga
ᎨᎪᎵᏍᏗ	ge:go:lí:sdi	ge²go²li³sdi	For them to be recognized	gee2goo2lii3sdi
ᏓᎾᏓᏙᎵᎪᎢ	dà:nada:dohlgó:ɂi	da¹nạ²da²dohl²go³ɂi	They usually are acquainted	daa1naa2daa2dohl2goo3-i
ᏕᎦᏓᏚᎵᎭ	dé:gadadu:líha	de³gạ²dạ²du²lị³ha	All of us are wanting each other	dee3ga2da2duu2li3ha
ᎢᎾᏓ	ì:nada	i¹nạ²da	Let you (1) and me say	ii1na2da
ᎠᏓ	adā	ạ²da²	He recently said	a2da2
ᏫᏦᏥᏍᏗᎦ	wijò:ji:sdǐ:ga	wị²jo¹ji²sdi²³ga	Let them and me eat rod shaped things	wi2joo1jii2sdii23ga
ᏕᎾᏓᏙᎵᎪᎢ	dé:nada:dohlgó:ɂi	de³nạ²da²dohl²go³ɂi	You (1) and I usually are acquainted	dee3na2daa2dohl2goo3-i
ᏕᎪᎵᎪᎢ	de:go:li:gó:ɂi	de²go²li²go³ɂi	I usually understand things	dee2goo2lii2goo3-i
ᏙᎦᏓᏚᎵᎭ	dò:gadadu:líha	do¹gạ²dạ²du²lị³ha	They and I are wanting each other	doo1ga2da2duu2li3ha
ᎢᎬᏌ	ì:gv̋:sa	i¹gv⁴sa	All of us alone	ii1gvv4sa
ᎢᏓᏓ	ì:dada	i¹dạ²da	Let all of us say	ii1da2da
ᏕᎩᎲᎢ	dé:gi:hv̌:ɂi	de³gi²hv²³ɂi	All of us had solid things a while ago	dee3gii2hvv23-i
ᎠᎾᏓ	à:nadā	a¹nạ²da²	They recently said	aa1na2da2
ᏫᏗᏂᏍᏗᎦ	widini:sdǐ:ga	wị²dị²ni²sdi²³ga	Let them eat rod shaped things	wi2di2nii2sdii23ga
ᏕᏓᏓᏙᎵᎪᎢ	dé:dada:dohlgó:ɂi	de³dạ²da²dohl²go³ɂi	All of us usually are acquainted	dee3da2daa2dohl2goo3-i
ᎦᏓᏙᎵᎪᎢ	gada:do:li:gó:ɂi	gạ²da²do²li²go³ɂi	I usually recognize myself	ga2daa2doo2lii2goo3-i
ᏚᎾᏓᏚᎵᎭ	dù:nadadu:líha	du¹nạ²dạ²du²lị³ha	They are wanting each other	duu1na2da2duu2li3ha
ᎣᎬᏌ	ò:gv̋:sa	o¹gv⁴sa	They and I alone	oo1gvv4sa
ᏙᎩᎲᎢ	dò:gi:hv̌:ɂi	do¹gi²hv²³ɂi	They and I had solid things a while ago	doo1gii2hvv23-i
ᏣᎧᎭ	jakáha	jạ²kạ³ha	He has you (1)	ja2ka3ha
ᎣᏣᏓ	ò:jadā	o¹jạ²da²	They and I recently said	oo1ja2da2
ᏗᎩᏰᏍᏗ	digi:hyè:sdi	dị²gi²hye¹sdi	For all of us to eat flexible things	di2gii2hyee1sdi
ᏫᏦᏍᏗᏍᏗᎦ	wijò:sdi:sdǐ:ga	wị²jo¹sdi²sdi²³ga	Let him and me eat rod shaped things	wi2joo1sdii2sdii23ga
ᏙᏣᏓᏙᎵᎪᎢ	dò:jada:dohlgó:ɂi	do¹jạ²da²dohl²go³ɂi	They and I usually are acquainted	doo1ja2daa2dohl2goo3-i
ᏗᎩᎾᏓᏚᎸᏗ	diginadaduhldi	dị²gị²nạ²dạ²duhl²di	For you (1) and me to want each other	di2gi2na2da2duhl2di
ᏕᎩᎾᏓᏚᎵᎭ	de:ginadadu:líha	de²gị²nạ²dạ²du²lị³ha	You (1) and I are wanting each other	dee2gi2na2da2duu2li3ha
ᏗᎾᏓᎦᏙᏍᏓ	dinadaktǒ:sda	dị²nạ²dạ²kto²³sda	Let you (1) and me look at each other	di2na2da2ktoo23sda
ᎤᏅᏌ	ù:nv̋:sa	u¹nv⁴sa	They alone	uu1nvv4sa
ᏚᏂᎲᎢ	dù:ni:hv̌:ɂi	du¹ni²hv²³ɂi	They had solid things a while ago	duu1nii2hvv23-i
ᎣᏍᏓᏓ	ò:sdadā	o¹sdạ²da²	He and I recently said	oo1sda2da2
ᏙᎦᏓᎧᎭ	dò:gada:káha	do¹gạ²da²kạ³ha	They and I have each other	doo1ga2daa2ka3ha
ᏙᏍᏓᏓᏙᎵᎪᎢ	dò:sdada:dohlgó:ɂi	do¹sdạ²da²dohl²go³ɂi	He and I usually are acquainted	doo1sda2daa2dohl2goo3-i
ᏗᎦᏓᎪᏩᏛᏗ	digada:gowhtv́hdi	dị²gạ²da²gowh²tvh³di	For all of us to see each other	di2ga2daa2gowh2tvh3di
ᏙᎩᎾᏓᏚᎵᎭ	dò:ginadadu:líha	do¹gị²nạ²dạ²du²lị³ha	He and I are wanting each other	doo1gi2na2da2duu2li3ha
ᎩᏅᏌ	ginv̋:sa	gị²nv⁴sa	You (1) and I alone	gi2nvv4sa
ᏕᎩᏂᎲᎢ	de:gini:hv̌:ɂi	de²gị²ni²hv²³ɂi	You (1) and I had solid things a while ago	dee2gi2nii2hvv23-i
ᏚᎾᏓᎧᎭ	dù:nada:káha	du¹nạ²da²kạ³ha	They have each other	duu1na2daa2ka3ha
ᏗᎩᏂᏰᏍᏗ	digini:hyè:sdi	dị²gị²ni²hye¹sdi	For you (1) and me to eat flexible things	di2gi2nii2hyee1sdi
ᎣᎩᏅᏌ	ò:ginv̋:sa	o¹gị²nv⁴sa	He and I alone	oo1gi2nvv4sa
ᏙᎩᏂᎲᎢ	dò:gini:hv̌:ɂi	do¹gị²ni²hv²³ɂi	He and I had solid things a while ago	doo1gi2nii2hvv23-i
ᏙᎩᎾᏓᎧᎭ	dò:ginada:káha	do¹gị²nạ²da²kạ³ha	He and I have each other	doo1gi2na2daa2ka3ha
ᏕᎦᏚᎦ	de:gatǔ:gā	de²gạ²tu²³ga²	He recently drank alcoholic drinks	dee2ga2tuu23ga2
ᏕᏥᎰᎢ	dé:ji:hó:ɂi	de³ji²ho³ɂi	You all usually have solid things	dee3jii2hoo3-i
ᏗᏦᎵᎩ	dijohlgi	dị²johl²gi	Let you all understand things	di2johl2gi
ᏕᏍᏗᎰᎢ	de:sdi:hó:ɂi	de²sdi²ho³ɂi	You both usually have solid things	dee2sdii2hoo3-i
ᏗᏍᏓᏓᏙᎵᎩ	disdada:dohlgi	dị²sdạ²da²dohl²gi	Let you both be acquainted	di2sdaa2daa2dohl2gi
ᏗᏍᏓᏚᎩ	disdatǔ:gi	dị²sdạ²tu²³gi	Let you both drink alcoholic drinks	di2sda2tuu23gi
ᎨᎾᏚᎳ	ge:nadǔ:la	ge²nạ²du²³la	Let you (1) and me want them (animate)	gee2na2duu23la
ᏍᏉᎵᏍᏗ	sgwo:hlísdi	sgwo²hlị³sdi	For you (1) to recognize me	sgwoo2hli3sdi
ᎠᎾᏓᏙᎵᎦ	à:nada:dohlgā	a¹nạ²da²dohl²ga²	They recently recognized themselves	aa1naa2daa2dohl2ga2
ᎨᏓᏚᎳ	ge:dadǔ:la	ge²dạ²du²³la	Let all of us want them (animate)	gee2da2duu23la
ᎨᎪᎵᏍᏗ	ge:go:hlísdi	ge²go²hlị³sdi	For them to recognize all of us	gee2goo2hli3sdi
ᎨᏣᏚᎳ	ge:jadǔ:la	ge²jạ²du²³la	Let you all want them (animate)	gee2ja2duu23la
ᎪᎪᎵᏍᏗ	go:go:hlísdi	go²go²hlị³sdi	For them to recognize them and me	goo2goo2hli3sdi
ᎨᏍᏓᏚᎳ	ge:sdadǔ:la	ge²sdạ²du²³la	Let you both want them (animate)	gee2sda2duu23la
ᏦᎪᎵᏍᏗ	jò:go:hlísdi	jo¹go²hlị³sdi	For them and me to understand things	joo1goo2hli3sdi
ᏧᏬᎵᏍᏗ	ju:wo:hlísdi	ju²wo²hlị³sdi	For him to understand things; For him to recognize them (animate)	juu2woo2hli3sdi
ᏍᏓᏓᏚᎳ	sdadadǔ:la	sdạ²dạ²du²³la	Let you both want yourselves	sdaa2da2duu23la
ᏍᏗᎭ	sdi:ha	sdi²ha	You both have something solid	sdii2ha
ᏚᏮᏯ	du:wù:wâ:ya	du²wu¹wa³²ya	He has rod shaped things	duu2wuu1waa32ya
ᎥᏉᎵᎦ	v̀:gwohlga	v¹gwohl²ga	I am being recognized	vv1gwohl2ga
ᏧᏃᎵᏍᏗ	jù:no:hlísdi	ju¹no²hlị³sdi	For them to understand things; For them to recognize them (animate)	juu1noo2hli3sdi
ᏣᎭ	jaha	jạ²ha	You (1) have something solid	ja2ha
ᏕᎰᎵᎦ	de:hohlga	de²hohl²ga	You (1) understand things	dee2hohl2ga
ᏗᏦᎵᏍᏗ	dijo:hlísdi	dị²jo²hlị³sdi	For you (1) to understand things; For you all to understand things	di2joo2hli3sdi
ᎢᏥᎭ	ì:ji:ha	i¹ji²ha	You all have something solid	ii1jii2ha
ᎨᎩᏃᎵᏍᏗ	ge:gino:hlísdi	ge²gị²no²hlị³sdi	For them to recognize you (1) and me	gee2gi2noo2hli3sdi
ᎠᎩᎭ	à:giha	a¹gị²ha	I have something solid	aa1gi2ha
ᎪᎩᏃᎵᏍᏗ	go:gino:hlísdi	go²gị²no²hlị³sdi	For them to recognize him and me	goo2gi2noo2hli3sdi
ᏤᎩᏂᎪᏗ	jè:gini:kóhdi	je¹gị²ni²koh³di	For someone to have you (1) and me	jee1gi2nii2koh3di
ᏘᎪᏩᏔ	tigò:wahta	tị²go¹wah²ta	Let you (1) see them (inanimate)	ti2goo1wah2ta
ᏦᎩᏃᎵᏍᏗ	jò:gino:hlísdi	jo¹gị²no²hlị³sdi	For him and me to understand things	joo1gi2noo2hli3sdi
ᏗᏗᎪᏩᏔ	didi:gò:wahta	dị²di²go¹wah²ta	Let all of us see them (inanimate)	di2dii2goo1wah2ta
ᎩᎾᏓᏙᎵᏍᏗ	ginada:do:hlísdi	gị²nạ²da²do²hlị³sdi	For you (1) and me to recognize ourselves	gi2na2daa2doo2hli3sdi
ᎠᎦᏚᎳ	à:gadǔ:lā	a¹gạ²du²³la²	He was recently wanted	aa1ga2duu23la2
ᏗᏂᎪᏩᏔ	díni:gò:wahta	dị³ni²go¹wah²ta	Let you (1) and me see them (inanimate)	di3nii2goo1wah2ta
ᏗᏣᏓᏙᎵᏍᏗ	dijada:do:hlísdi	dị²jạ²da²do²hlị³sdi	For you all to be acquainted	di2ja2daa2doo2hli3sdi
ᏫᏗᏥᎪᏩᏔ	widijigò:wahta	wị²dị²jị²go¹wah²ta	Let me see them (inanimate)	wi2di2ji2goo1wah2ta
ᏓᏂᎪᏩᏔ	dà:ni:gò:wahtā	da¹ni²go¹wah²ta²	They recently saw them	daa1nii2goo1wah2ta2
ᏕᏂᎪᏩᏔ	dé:ni:gò:wahtā	de³ni²go¹wah²ta²	You (1) and I recently saw them (inanimate)	dee3nii2goo1wah2ta2
ᎪᎵᎦ	go:lì:ga	go²li¹ga	I understand it	goo2lii1ga
ᎨᏥᎪᎲᎢ	gé:ji:go:hv̌:ɂi	ge³ji²go²hv²³ɂi	They saw you all a while ago	gee3jii2goo2hvv23-i
ᏕᏗᎪᏩᏔ	dé:di:gò:wahtā	de³di²go¹wah²ta²	All of us recently saw them (inanimate)	dee3dii2goo1wah2ta2
ᎪᏥᎪᎲᎢ	go:ji:go:hv̌:ɂi	go²ji²go²hv²³ɂi	They and I saw them (animate) a while ago	goo2jii2goo2hvv23-i
ᏙᏥᎪᏩᏔ	dò:ji:gò:wahtā	do¹ji²go¹wah²ta²	They and I recently saw them (inanimate)	doo1jii2goo1wah2ta2
ᏙᏍᏗᎪᏩᏔ	dò:sdi:gò:wahtā	do¹sdi²go¹wah²ta²	He and I recently saw them (inanimate)	doo1sdii2goo1wah2ta2
ᎪᏍᏗᎪᎲᎢ	go:sdi:go:hv̌:ɂi	go²sdi²go²hv²³ɂi	He and I saw them (animate) a while ago	goo2sdii2goo2hvv23-i
ᏥᏥ	ji:ji	ji²ji	I, his mother	jii2ji
ᏕᏥᏰᎠ	de:jiyé:ɂa	de²jị²ye³ɂa	I am eating flexible things	dee2ji2yee3-a
ᏫᏓᎭᏗᏔ	wida:dǐ:ta	wị²da²di²³ta	Let him drink drinks	wi2daa2dii23ta
ᏓᎾᏓᎦᏙᏍᏗ	dà:nadà:ktǒ:sdi	da¹nạ²da¹kto²³sdi	They are looking at each other	daa1naa2daa1ktoo23sdi
ᎦᏓᎦᏙᏍᏗ	gadagà:tǒ:sdi	gạ²dạ²ga¹to²³sdi	I am looking at myself	ga2da2gaa1too23sdi
ᏦᎦᏓᎦᏙᏍᏙᏗ	jò:gadaktǒ:sdóhdi	jo¹gạ²dạ²kto²³sdoh³di	For them and me to look at each other	joo1ga2da2ktoo23sdoh3di
ᏕᎦᏓᏚᎸᎲᎢ	dé:gadadu:lv:hv̌:ɂi	de³gạ²dạ²du²lv²hv²³ɂi	All of us wanted each other a while ago	dee3ga2da2duu2lvv2hvv23-i
ᏫᏦᏥᏯᎦ	wijò:ji:hyaga	wị²jo¹ji²hyạ²ga	Let them and me eat flexible things	wi2joo1jii2hya2ga
ᏓᏂᏍᏗᎦ	dà:ni:sdǐ:gā	da¹ni²sdi²³ga²	They recently ate rod shaped things	daa1nii2sdii23ga2
ᏧᏂᏟᏐᏗ	jù:nì:hlǐ:sóhdi	ju¹ni¹hli²³soh³di	For them to gather things	juu1nii1hlii23soh3di
ᏕᎾᏓᎦᏙᏍᏗ	dé:nadà:ktǒ:sdi	de³nạ²da¹kto²³sdi	You (1) and I are looking at each other	dee3na2daa1ktoo23sdi
ᏧᎾᏓᎦᏙᏍᏙᏗ	jù:nadaktǒ:sdóhdi	ju¹nạ²dạ²kto²³sdoh³di	For them to look at each other	juu1na2da2ktoo23sdoh3di
ᏙᎦᏓᏚᎸᎲᎢ	dò:gadadu:lv:hv̌:ɂi	do¹gạ²dạ²du²lv²hv²³ɂi	They and I wanted each other a while ago	doo1ga2da2duu2lvv2hvv23-i
ᏕᏂᏍᏗᎦ	dé:ni:sdǐ:gā	de³ni²sdi²³ga²	You (1) and I recently ate rod shaped things	dee3nii2sdii23ga2
ᏗᎩᏟᏐᏗ	dìgìhlǐ:sóhdi	dị¹gị¹hli²³soh³di	For me to gather things	di1gi1hlii23soh3di
ᏕᏓᏓᎦᏙᏍᏗ	dé:dadà:ktǒ:sdi	de³dạ²da¹kto²³sdi	All of us are looking at each other	dee3da2daa1ktoo23sdi
ᏚᎾᏓᏚᎸᎲᎢ	dù:nadadu:lv:hv̌:ɂi	du¹nạ²dạ²du²lv²hv²³ɂi	They wanted each other a while ago	duu1na2da2duu2lvv2hvv23-i
ᏦᎩᎾᏓᎦᏙᏍᏙᏗ	jò:ginadaktǒ:sdóhdi	jo¹gị²nạ²dạ²kto²³sdoh³di	For him and me to look at each other	joo1gi2na2da2ktoo23sdoh3di
ᏕᏗᏍᏗᎦ	dé:di:sdǐ:gā	de³di²sdi²³ga²	All of us recently ate rod shaped things	dee3dii2sdii23ga2
ᏦᎩᏂᏟᏐᏗ	jò:ginì:hlǐ:sóhdi	jo¹gị²ni¹hli²³soh³di	For him and me to gather things	joo1gi2nii1hlii23soh3di
ᏙᏣᏓᎦᏙᏍᏗ	dò:jadà:ktǒ:sdi	do¹jạ²da¹kto²³sdi	They and I are looking at each other	doo1ja2daa1ktoo23sdi
ᏕᎩᎾᏓᏚᎸᎲᎢ	de:ginadadu:lv:hv̌:ɂi	de²gị²nạ²dạ²du²lv²hv²³ɂi	You (1) and I wanted each other a while ago	dee2gi2na2da2duu2lvv2hvv23-i
ᏘᏍᏗᎦ	tisdǐ:ga	tị²sdi²³ga	Let you (1) eat rod shaped things	ti2sdii23ga
ᏙᏥᏍᏗᎦ	dò:ji:sdǐ:gā	do¹ji²sdi²³ga²	They and I recently ate rod shaped things	doo1jii2sdii23ga2
ᏗᎦᏓᏚᎸᏗ	digadaduhldi	dị²gạ²dạ²duhl²di	For all of us to want each other	di2ga2da2duhl2di
ᏙᏍᏓᏓᎦᏙᏍᏗ	dò:sdadà:ktǒ:sdi	do¹sdạ²da¹kto²³sdi	He and I are looking at each other	doo1sda2daa1ktoo23sdi
ᏙᎩᎾᏓᏚᎸᎲᎢ	dò:ginadadu:lv:hv̌:ɂi	do¹gị²nạ²dạ²du²lv²hv²³ɂi	He and I wanted each other a while ago	doo1gi2na2da2duu2lvv2hvv23-i
ᏙᎬᏲᎢ	dò:gù:wǎ:yóɂi	do¹gu¹wa²³yọ³ɂi	They and I usually have rod shaped things	doo1guu1waa23yo3-i
ᏗᏗᏍᏗᎦ	didi:sdǐ:ga	dị²di²sdi²³ga	Let all of us eat rod shaped things	di2dii2sdii23ga
ᏙᏍᏗᏍᏗᎦ	dò:sdi:sdǐ:gā	do¹sdi²sdi²³ga²	He and I recently ate rod shaped things	doo1sdii2sdii23ga2
ᏧᎪᏩᏛᏗ	ju:gowhtv́hdi	ju²gowh²tvh³di	For him to see them	juu2gowh2tvh3di
ᏥᏲᎵᎪᎢ	ji:yo:li:gó:ɂi	ji²yo²li²go³ɂi	I usually recognize him	jii2yoo2lii2goo3-i
ᏚᏅᏲᎢ	dù:nù:wǎ:yóɂi	du¹nu¹wa²³yọ³ɂi	They usually have rod shaped things	duu1nuu1waa23yo3-i
